city	cityASCII	latitude	longitude	country	population	id	zoomLevel	countryColor
Tokyo	Tokyo	35.687	139.7495	Japan	37785000	1392685764	1	#C33C3C
Jakarta	Jakarta	-6.175	106.8275	Indonesia	33756000	1360771077	1	
Delhi	Delhi	28.61	77.23	India	32226000	1356872604	1	#FF7C4C
Guangzhou	Guangzhou	23.13	113.26	China	26940000	1156237133	1	#FFAADE
Mumbai	Mumbai	19.0761	72.8775	India	24973000	1356226629	1	#FF7C4C
Manila	Manila	14.5958	120.9772	Philippines	24922000	1608618140	1	
Shanghai	Shanghai	31.2286	121.4747	China	24073000	1156073548	1	#FFAADE
Sao Paulo	Sao Paulo	-23.5504	-46.6339	Brazil	23086000	1076532519	1	#9CCE59
Seoul	Seoul	37.5667	126.9833	Korea, South	23016000	1410836482	1	#2B70C9
Mexico City	Mexico City	19.4333	-99.1333	Mexico	21804000	1484247881	1	
KolkÄta	Kolkata	22.5675	88.37	India	21747000	1356060520	1	#FF7C4C
Cairo	Cairo	30.0444	31.2358	Egypt	20296000	1818253931	1	
Karachi	Karachi	24.86	67.01	Pakistan	20249000	1586129469	1	
Dhaka	Dhaka	23.7289	90.3944	Bangladesh	19134000	1050529279	1.1	
New York	New York	40.6943	-73.9249	United States	18832416	1840034016	1	#2B70C9
Beijing	Beijing	39.9067	116.3975	China	18522000	1156228865	1	#FFAADE
Bangkok	Bangkok	13.7525	100.4942	Thailand	18007000	1764068610	1	
Shenzhen	Shenzhen	22.5415	114.0596	China	17619000	1156158707	1	#FFAADE
Moscow	Moscow	55.7506	37.6175	Russia	17332000	1643318494	1	#4B4B4B
Buenos Aires	Buenos Aires	-34.6036	-58.3814	Argentina	16710000	1032717330	1	#84D8FF
Lagos	Lagos	6.455	3.3841	Nigeria	16637000	1566593751	1	
Bangalore	Bangalore	12.9789	77.5917	India	15386000	1356410365	1	#FF7C4C
Ho Chi Minh City	Ho Chi Minh City	10.7756	106.7019	Vietnam	15136000	1704774326	1	
ÅŒsaka	Osaka	34.6939	135.5022	Japan	15126000	1392419823	1	#C33C3C
Chengdu	Chengdu	30.66	104.0633	China	14645000	1156421555	2.6	#FFAADE
Istanbul	Istanbul	41.0136	28.955	Turkey	14441000	1792756324	1	
Tehran	Tehran	35.6889	51.3897	Iran	14148000	1364305026	1	
