suburb,Property_Price
ABERFOYLE PARK,733750
ADELAIDE,1345000
ADELAIDE AIRPORT,-1
ALBERT PARK,675500
ALBERTON,646250
ALDGATE,1180000
ALDINGA,877200
ALDINGA BEACH,660000
ALLENBY GARDENS,990099
ALLENDALE EAST,-1
ALMA,-1
ALTONA,-1
AMERICAN RIVER,-1
ANDAMOOKA,-1
ANDREWS FARM,522500
ANGASTON,-1
ANGLE PARK,630000
ANGLE VALE,738500
ARDROSSAN,-1
ARMAGH,-1
ARNO BAY,-1
ARTHURTON,-1
ASCOT PARK,803000
ASHBOURNE,-1
ASHFORD,1125000
ASHTON,749000
ATHELSTONE,800000
ATHOL PARK,696500
AUBURN,-1
AULDANA,2000000
BALAKLAVA,-1
BALGOWAN,-1
BALHANNAH,801000
BANKSIA PARK,684000
BARMERA,-1
BASKET RANGE,0
BEACHPORT,-1
BEAUMONT,2010000
BEDFORD PARK,735000
BELAIR,1168500
BELLEVUE HEIGHTS,917500
BERRI,-1
BETHANY,-1
BEULAH PARK,1362000
BEVERLEY,850000
BIBARINGA,0
BIRDWOOD,585000
BIRKENHEAD,770000
BLACK FOREST,1515000
BLACK POINT,-1
BLACKWOOD,895000
BLAIR ATHOL,783000
BLAKEVIEW,552000
BLAKISTON,-1
BLANCHETOWN,-1
BLEWITT SPRINGS,0
BLYTH,-1
BOLIVAR,0
BOOBOROWIE,-1
BOOLEROO CENTRE,-1
BORDERTOWN,-1
BOSTON,-1
BOWDEN,942500
BOWMANS,-1
BRADBURY,947000
BRAHMA LODGE,560000
BRIDGEWATER,782500
BRIGHTON,1455000
BRINKWORTH,-1
BROADVIEW,950000
BROMPTON,930000
BROOKLYN PARK,630000
BROWN HILL CREEK,0
BROWNLOW KI,-1
BRUKUNGA,-1
BUCHFELDE,-1
BUCKLAND PARK,0
BUGLE HUT,-1
BUGLE RANGES,-1
BURDETT,-1
BURNSIDE,1680000
BURRA,-1
BURTON,571000
BUTE,-1
CADELL,-1
CALLINGTON,-1
CALOOTE,-1
CALTOWIE,-1
CAMBRAI,-1
CAMDEN PARK,893000
CAMPBELLTOWN,899000
CAPE JAFFA,-1
CAPE JERVIS,-1
CAREY GULLY,0
CARPENTER ROCKS,-1
CARRICKALINGA,-1
CEDUNA,-1
CHAFFEY,-1
CHANDLERS HILL,822000
CHAPEL HILL,-1
CHARLESTON,1140000
CHELTENHAM,876750
CHERRY GARDENS,0
CHRISTIE DOWNS,540000
CHRISTIES BEACH,681500
CLAPHAM,1034000
CLARE,-1
CLARENCE GARDENS,1180000
CLARENCE PARK,1236000
CLARENDON,596000
CLAYTON BAY,-1
CLEARVIEW,735000
CLELAND,-1
CLEVE,-1
CLINTON,-1
CLOVELLY PARK,786000
COBDOGLA,-1
COCKATOO VALLEY,-1
COFFIN BAY,-1
COLLEGE PARK,2260000
COLLINSWOOD,2725000
COLONEL LIGHT GARDENS,825000
COMMISSARIAT POINT,-1
COMPTON,-1
CONCORDIA,-1
COOBER PEDY,-1
COOBOWIE,-1
COOLTONG,-1
COONALPYN,-1
COONAMIA,-1
COONAWARRA,-1
COPLEY,-1
CORNY POINT,-1
COROMANDEL EAST,877500
COROMANDEL VALLEY,905000
COWANDILLA,815000
COWELL,-1
CRAFERS,1309000
CRAFERS WEST,1547500
CRAIGBURN FARM,1250000
CRAIGMORE,513500
CROYDON,1020000
CROYDON PARK,859000
CRYSTAL BROOK,-1
CUDLEE CREEK,-1
CUMBERLAND PARK,1455000
CUMMINS,-1
CURRAMULKA,-1
CURRENCY CREEK,-1
DARKE PEAK,-1
DARLINGTON,982500
DAVOREN PARK,450000
DAW PARK,925000
DAWESLEY,-1
DENIAL BAY,-1
DERNANCOURT,800000
DEVON PARK,805000
DONOVANS,-1
DOVER GARDENS,785000
DRY CREEK,669000
DUBLIN,-1
DUCK PONDS,-1
DUDLEY PARK,715000
DULWICH,1737500
EASTWOOD,1240000
EBENEZER,-1
ECHUNGA,-1
EDEN HILLS,775000
EDEN VALLEY,-1
EDILLILIE,-1
EDINBURGH,0
EDITHBURGH,-1
EDWARDSTOWN,840000
ELIZABETH,550000
ELIZABETH DOWNS,472500
ELIZABETH EAST,491000
ELIZABETH GROVE,449000
ELIZABETH NORTH,455000
ELIZABETH PARK,497500
ELIZABETH SOUTH,456000
ELIZABETH VALE,485503
ELIZABETH WEST,-1
ELLISTON,-1
ENCOUNTER BAY,-1
ENFIELD,696500
ERINDALE,1728000
ETHELTON,595000
EUDUNDA,-1
EVANDALE,1245000
EVANSTON,506500
EVANSTON GARDENS,510000
EVANSTON PARK,573500
EVERARD PARK,1276250
EXETER,646250
FAIRVIEW PARK,709000
FALSE BAY,-1
FARRELL FLAT,-1
FELIXSTOW,1000000
FERRYDEN PARK,710000
FINDON,818000
FINNISS,-1
FIRLE,1030000
FISHERMAN BAY,-1
FITZROY,1900000
FLAGSTAFF HILL,834000
FLAXLEY,-1
FLAXMAN VALLEY,-1
FLINDERS PARK,930000
FOREST RANGE,-1
FORESTVILLE,1175000
FORRESTON,-1
FREELING,-1
FREWVILLE,1325500
FULHAM,1494444
FULHAM GARDENS,1175000
FULLARTON,1604500
GARDEN ISLAND,-1
GAWLER,475000
GAWLER BELT,-1
GAWLER EAST,617500
GAWLER RIVER,-1
GAWLER SOUTH,633500
GAWLER WEST,425000
GEORGETOWN,-1
GEPPS CROSS,658500
GERMEIN BAY,-1
GILBERTON,1755000
GILLES PLAINS,770000
GLADSTONE,-1
GLANDORE,1240000
GLANVILLE,820000
GLEN OSMOND,1105000
GLENALTA,990000
GLENBURNIE,-1
GLENCOE,-1
GLENDAMBO,-1
GLENELG,2600000
GLENELG EAST,1677500
GLENELG NORTH,1378000
GLENELG SOUTH,2325000
GLENGOWRIE,1135000
GLENSIDE,1737000
GLENUNGA,1600000
GLOBE DERBY PARK,0
GLOSSOP,-1
GLYNDE,1300000
GOLDEN GROVE,811000
GOLDEN HEIGHTS,-1
GOODWOOD,1800000
GOOLWA,-1
GOOLWA BEACH,-1
GOOLWA NORTH,-1
GOOLWA SOUTH,-1
GOULD CREEK,0
GRANGE,1235000
GREEN FIELDS,715000
GREENACRES,840750
GREENHILL,895000
GREENOCK,-1
GREENWITH,725000
GULFVIEW HEIGHTS,890000
GUMERACHA,755000
HACKHAM,576000
HACKHAM WEST,566000
HACKNEY,1251000
HAHNDORF,-1
HALBURY,-1
HALLETT,-1
HALLETT COVE,775000
