City,Suburb_Name,Median1Q2024
ADELAIDE,ADELAIDE,1345000
ADELAIDE,NORTH ADELAIDE,1675000
ADELAIDE HILLS,ALDGATE,1180000
ADELAIDE HILLS,ASHTON,
ADELAIDE HILLS,BALHANNAH,801000
ADELAIDE HILLS,BASKET RANGE,
ADELAIDE HILLS,BELAIR,1168500
ADELAIDE HILLS,BIRDWOOD,585000
ADELAIDE HILLS,BRADBURY,
ADELAIDE HILLS,BRIDGEWATER,782500
ADELAIDE HILLS,CAREY GULLY,
ADELAIDE HILLS,CASTAMBUL,
ADELAIDE HILLS,CHARLESTON,1140000
ADELAIDE HILLS,CHERRYVILLE,
ADELAIDE HILLS,CLELAND,
ADELAIDE HILLS,CRAFERS,1309000
ADELAIDE HILLS,CRAFERS WEST,1547500
ADELAIDE HILLS,DORSET VALE,
ADELAIDE HILLS,GREENHILL,895000
ADELAIDE HILLS,GUMERACHA,755000
ADELAIDE HILLS,HEATHFIELD,1367500
ADELAIDE HILLS,HORSNELL GULLY,
ADELAIDE HILLS,HUMBUG SCRUB,
ADELAIDE HILLS,IRONBANK,480000
ADELAIDE HILLS,KERSBROOK,840000
ADELAIDE HILLS,LENSWOOD,825000
ADELAIDE HILLS,LOBETHAL,645000
ADELAIDE HILLS,LONGWOOD,
ADELAIDE HILLS,MARBLE HILL,
ADELAIDE HILLS,MONTACUTE,
ADELAIDE HILLS,MOUNT GEORGE,1050000
ADELAIDE HILLS,MYLOR,1235000
ADELAIDE HILLS,NORTON SUMMIT,
ADELAIDE HILLS,OAKBANK,1146250
ADELAIDE HILLS,PICCADILLY,
ADELAIDE HILLS,ROSTREVOR,985000
ADELAIDE HILLS,SCOTT CREEK,
ADELAIDE HILLS,STIRLING,1325000
ADELAIDE HILLS,SUMMERTOWN,1050000
ADELAIDE HILLS,TERINGIE,
ADELAIDE HILLS,UPPER STURT,1250000
ADELAIDE HILLS,URAIDLA,
ADELAIDE HILLS,WATERFALL GULLY,
ADELAIDE HILLS,WOODFORDE,621000
ADELAIDE HILLS,WOODSIDE,882500
BURNSIDE,AULDANA,2000000
BURNSIDE,BEAUMONT,2010000
BURNSIDE,BEULAH PARK,1362000
BURNSIDE,BURNSIDE,1680000
BURNSIDE,DULWICH,1737500
BURNSIDE,EASTWOOD,1240000
BURNSIDE,ERINDALE,1728000
BURNSIDE,FREWVILLE,
BURNSIDE,GLEN OSMOND,1105000
BURNSIDE,GLENSIDE,1737000
BURNSIDE,GLENUNGA,1600000
BURNSIDE,HAZELWOOD PARK,1850000
BURNSIDE,HORSNELL GULLY,
BURNSIDE,KENSINGTON GARDENS,1375000
BURNSIDE,KENSINGTON PARK,1490000
BURNSIDE,LEABROOK,
BURNSIDE,LEAWOOD GARDENS,
BURNSIDE,LINDEN PARK,1615000
BURNSIDE,MAGILL,1055000
BURNSIDE,MOUNT OSMOND,
BURNSIDE,ROSE PARK,3311111
BURNSIDE,ROSSLYN PARK,2270000
BURNSIDE,SKYE,1250000
BURNSIDE,ST GEORGES,2417500
BURNSIDE,STONYFELL,1665000
BURNSIDE,TOORAK GARDENS,3275800
BURNSIDE,TUSMORE,1760000
BURNSIDE,WATERFALL GULLY,
BURNSIDE,WATTLE PARK,1340000
CAMPBELLTOWN,ATHELSTONE,800000
CAMPBELLTOWN,CAMPBELLTOWN,899000
